Username,Create time,Teks
TxtdariHI,Fri Feb 21 09:06:15 +0000 2025,#IndonesiaGelap Goes Global https://t.co/fHtwi2HHTP
ccmbxt,Sat Feb 22 18:03:03 +0000 2025,#IndonesiaGelap #ArtistBersuara https://t.co/3d7CioLcyz
cilokmediumrare,Sat Feb 22 10:52:45 +0000 2025, #IndonesiaGelap #IndonesiaGelap2025 #ArtistBersuara https://t.co/sbUHk7qiPm
BBCIndonesia,Mon Feb 17 12:14:32 +0000 2025,Kumpulan foto-foto aksi #IndonesiaGelap di Jakarta pada Senin (17/02). Para mahasiswa mendesak pemerintah bertanggung jawab atas situasi negara yang mereka sebut memburuk. https://t.co/TLw6JJ3nym https://t.co/MI5rO8gjVW
__AnakKolong,Sat Feb 22 13:07:59 +0000 2025, #IndonesiaGelap https://t.co/4SV4gssKO1
yellowgummies_,Thu Feb 20 14:59:12 +0000 2025,#IndonesiaGelap https://t.co/hxwwtHW5oc
cilokmediumrare,Sat Aug 24 05:06:58 +0000 2024,justice is dead. #KawalPutusanMK #PeringatanDarurat https://t.co/DaetehGbmZ
convomf,Mon Feb 17 09:37:55 +0000 2025,#IndonesiaGelap https://t.co/cGI7tBwhWI
koocheeng_,Fri Feb 21 01:26:37 +0000 2025,garudanya mati #ArtistBersuara #IndonesiaGelap https://t.co/4VcW8XDjJZ
KontraS,Fri Feb 21 09:55:48 +0000 2025,Tape art penyambung lidah rakyat di aksi #IndonesiaGelap https://t.co/P2zZFxEMPV
anteroloka,Mon Feb 24 17:15:46 +0000 2025,#IndonesiaGelap #ArtistBersuara https://t.co/vnTvN3aoeT
ainascnrrmt,Mon Feb 17 11:33:19 +0000 2025,#IndonesiaGelap terlalu banyak hal ngga adil bahkan untuk orang yg punya kesempatan lebih dari yang lain nya di mulai dari sulit nya cari kerja walaupun dia pintar sampai sulit nya mencari gas untuk memasak. Kalo udah gini salah siapa? Masih rakyat nya atau justru penguasa nya? https://t.co/OemCKJvk2K
gzys3442,Thu Feb 27 07:01:17 +0000 2025,Indonesia itu terang (1/4) #IndonesiaGelap #IndonesiaGelap2025 #ArtistBersuara https://t.co/cqvOCQAaR1
Boediantar4,Fri Feb 21 11:01:28 +0000 2025,Mantap Keren Menohok #IndonesiaGelap #AdiliJokowi https://t.co/OUCSic2ONM
basebuku,Fri Feb 21 12:15:18 +0000 2025, Indonesia gelap kawan-kawan pambaca. Bersuaralah. https://t.co/GqhgpklWM5
Isminita01,Thu Aug 22 15:51:31 +0000 2024,#KawalPutusanMK Padahal negara ini baru memperingati hari kemerdekaannya. Tapi seolah hitungan dirgahayu itu sudah berhenti entah dari sejak kapan. Apakah benar kita masih merdeka. https://t.co/BEZcd6iSXe
aonekomon,Wed Feb 26 01:59:51 +0000 2025,Hidup ini isinya gacha doang #ArtistBersuara #IndonesiaGelap https://t.co/1GbXYLU32l
alpokatmentega,Thu Feb 20 16:18:55 +0000 2025,1312. #IndonesiaGelap https://t.co/Y7OyQEcbgv
walhinasional,Fri Feb 21 09:57:55 +0000 2025,Hari ini di aksi #IndonesiaGelap warga turun ke jalan atas begitu banyak rentetan kebijakan negara yang justru menyengsarakan warganya sendiri. Efisiensi anggaran 20 juta hektar hutan untuk pangan dan energi RUU Minerba yang dikebut semalam pendidikan dan kesehatan yang https://t.co/QvDXNHkbmT
tewewulin,Sun Feb 23 18:15:42 +0000 2025,Kami Butuh Buku Dan Bolpen Bukan Senjata Dan Eksavator #IndonesiaGelap #IndonesiaGelap2025 https://t.co/MYStegrEtd
NJZBUBBLEGUM,Fri Feb 21 04:42:08 +0000 2025,HIDUP PEREMPUAN YANG MELAWAN은 인도네시아어로 '투쟁하는 여성이여 영원하라'라는 뜻입니다. #DarkIndonesia #IndonesiaGelap https://t.co/aR99xbEzoA
neohistoria_id,Fri Feb 21 11:01:25 +0000 2025,#IndonesiaGelap https://t.co/cW44fbeqMJ
MariaAlkaff_,Mon Feb 24 02:43:14 +0000 2025,Jangan ditantang ya! Rakyat sudah gerah sama semua penyelenggara negara yang tidak amanah tidak pro rakyat dan suka memeras! #IndonesiaGelap #IndonesiaMakinGelap https://t.co/OkyxGSep0o
barengwarga,Thu Feb 20 16:10:06 +0000 2025,Post terakhir hari ini ditutup dengan visual stage #IndonesiaGelap oleh @listentofeast terima kasih selalu bersama sipil yang melawan https://t.co/7QigOLfDO3
maerseille,Mon Feb 24 11:58:36 +0000 2025,#IndonesiaGelap https://t.co/EcNNS6IFCf
BBCIndonesia,Fri Feb 21 13:19:30 +0000 2025,Sehari setelah ditarik dari platform musik lagu Bayar Bayar Bayar karya band Sukatani malah berkumandang sepanjang aksi #IndonesiaGelap . Peserta aksi mengatakan lagu ini mewakili keresahan mereka terhadap sikap anti-kritik pemerintah dan aparat. https://t.co/uWXoK6msqa
dat_sfrina,Fri Feb 21 04:16:19 +0000 2025,Akan kita terangkan lagi negeri ini #IndonesiaGelap #ArtistBersuara https://t.co/1DR3LizQ8G
berlianidris,Fri Feb 21 07:33:44 +0000 2025,Pesan dari kami rakyat Indonesia #IndonesiaGelap https://t.co/4juAnLeZdW
humaniesproject,Fri Feb 21 08:40:53 +0000 2025,Terima kasih untuk semua yang masih peduli dan akan terus peduli sampai kapanpun! #Indonesia #IndonesiaGelap https://t.co/5Qq97qFU4Q
ramaArsy1,Wed Feb 26 06:05:58 +0000 2025,Di Negeri Para Bedebah lagu ini di take down dibuatkan versi english nya oleh musisi dunia kereen #IndonesiaGelap #IndonesiaGelap https://t.co/DFeVcCeBKu
barengwarga,Fri Feb 21 10:06:41 +0000 2025,Hidup rakyat yang melawan! ️ #IndonesiaGelap https://t.co/JBtPyOnKio
Ihyanursamsie,Fri Feb 28 11:54:35 +0000 2025,hilal masih belum terlihat karna Indonesia gelap coba di adili dulu sih itu
erlanishere,Sat Feb 22 08:43:33 +0000 2025,Solidaritas para warga dalam berbagi makanan di momen aksi Indonesia Gelap . Sebagai rakyat Indonesia kita harus bahu-membahu dalam mengkritik dan mengkoreksi pemerintah. Good job everyone!! https://t.co/KmE6rxGgw1
hdyannnnnn,Mon Feb 17 10:52:27 +0000 2025,hei demi apapun ini berita lagi naik lohhhh BAJINGAN KALIAN ini gada stasiun televisi gada yang mau liput???? kemana kalian????? hallloooo???? heiii? APAKAH INI SUDAH PEMBUNGKAMAN??? #KaburAjaDulu #IndonesiaGelap https://t.co/6CA7sGAGMd
rumahliterasii,Thu Feb 20 23:30:15 +0000 2025,Bodo amat dikatain FOMO juga #IndonesiaGelap https://t.co/jSMociiFMX
bupperscotch,Sat Feb 22 02:49:39 +0000 2025,1998 #IndonesiaGelap #ArtistBersuara https://t.co/XDVpBe2HbU
barengwarga,Wed Feb 19 18:47:31 +0000 2025,Empat hari berturut terut #IndonesiaGelap https://t.co/VoIZUSkWov
mikrosil,Fri Feb 21 03:28:04 +0000 2025,Don't let the bastards grind you down #IndonesiaGelap #kamibersamasukatani https://t.co/ghgSvmZkbJ
BudiBukanIntel,Fri Feb 21 07:57:53 +0000 2025,JONG CANBERRA #IndonesiaGelap https://t.co/OMz6En2ZAW
tanyarlfes,Wed Feb 26 04:15:16 +0000 2025, Prabowo: yg liat Indonesia gelap tuh siapa? abistu (Semua hadirinnya langsung ketawa menggelegar HUAHAHAHAHAHAH) bener2 demo kita kemaren Dimata para pejabat ga dianggap apa-apa guys malah dijadiin bahan olok-olok https://t.co/lhzCVJrAel
rendimr13,Fri Feb 21 01:33:07 +0000 2025,Kemarin lukisan sekarang lagu besok apa? #KamiBersamaSukatani #IndonesiaGelap https://t.co/t1FymepAry
yaniarsim,Thu Feb 27 05:19:05 +0000 2025,Rame-rame pindah ke @Shell Rame-rame pindah Bank. Cara menghukum rezim brutal memang harus dg cara brutal juga #IndonesiaGelap https://t.co/NwACiLucWb
dhanuriza,Fri Feb 21 07:16:46 +0000 2025,#IndonesiaGelap https://t.co/WQ4AG4dmaS
Chynthia_K,Tue Feb 25 15:02:13 +0000 2025,. BIAR YANG BELUM TAHU JADI TAHU YANG SUDAH TAHU JADI TAMBAH TAHU. Betapa Bengisnya Rezim Jokowi kala itu. Namun selalu dibungkus dengan Pencitraan melalui BerFoto sama Rakyat Bagi Bingkisan Biar gak Kelihatan Busuknya. #IndonesiaGelap #AdiliJokowi . https://t.co/0KT8eJGyww
humaniesproject,Fri Feb 21 10:29:19 +0000 2025,Humanies Project juga hadir di Bandung! Menyediakan makanan minuman P3K dan ambulance #IndonesiaGelap https://t.co/rhjqO81DMI
Saham_fess,Tue Feb 25 03:36:18 +0000 2025,Beneran indonesia gelap sih ini wkwkwkwk shm! https://t.co/AGOjlgAqAA
MurtadhaOne1,Fri Feb 28 11:52:36 +0000 2025,PT. Antam memproduksi 109 Ton emas PALSU PT. Pertamina memproduksi Pertamax PALSU Pemerintah memproduksi pejabat PALSU Rakyat disuruh makan janji PALSU Dibilang #IndonesiaGelap gak mau Malah jawabnya Ndasmau https://t.co/FAyBBQSd2T
barengwarga,Thu Feb 27 10:11:13 +0000 2025,Ternate mahasiswa dan jurnalis dipukul Satpol PP saat aksi #IndonesiaGelap. https://t.co/Wijh13yekS
RagilSemar,Tue Feb 25 23:51:30 +0000 2025,Suara #IndonesiaGelap dilecehkan okeh si paling-anti-kritik. Pakai gaya menye2 yg sama. Modal proyeksi Goldman Sachs tentang Ekonomi Terbesar di tahun 2050 (Bagong lampirin tabelnya). Padahal yg disuarakan adalah kondisi riil saat ini jawabnya pakai itung2an proyeksi. Gimana? https://t.co/eN1gEAqvQs
neVerAl0nely,Thu Feb 27 09:53:52 +0000 2025,Aksi masa aliansi mahasiswa dan rakyat sipil di kota Bengkulu BUMI RAFLESIA MELAWAN Kembali memakan korban dari Represifitas Aparat dalam aksi #indonesiagelap️ Terdata ada 31 orang yang menjadi korban dari kekerasan oknum kepolisian. https://t.co/ut1cg6Qhsx
yaniarsim,Tue Feb 25 06:19:47 +0000 2025,Hastaq Suara Rakyat Konoha #BayarPolisi #IndonesiaGelap #DaruratPendidikan #AdiliJokowi Dibalas dengan Hidup Jokowi......Ndassmu https://t.co/oxlUFcWuq4
yaniarsim,Fri Feb 28 03:02:26 +0000 2025,Beginilah akibatnya kalau rakyat sudah muak ditipu. #IndonesiaGelap https://t.co/F7hQ8Qb6Nt
