Username,Create Time,Teks
TxtdariHI,Fri Feb 21 09:06:15 +0000 2025,indonesiagelap goes global
ccmbxt,Sat Feb 22 18:03:03 +0000 2025,indonesiagelap artistbersuara
cilokmediumrare,Sat Feb 22 10:52:45 +0000 2025,indonesiagelap indonesiagelap artistbersuara
BBCIndonesia,Mon Feb 17 12:14:32 +0000 2025,kumpul foto foto aksi indonesiagelap jakarta senin mahasiswa desak perintah tanggung jawab atas situasi negara mereka sebut buruk
__AnakKolong,Sat Feb 22 13:07:59 +0000 2025,indonesiagelap
cilokmediumrare,Sat Aug 24 05:06:58 +0000 2024,justice is dead kawalputusanmk peringatandarurat
koocheeng_,Fri Feb 21 01:26:37 +0000 2025,garuda mati artistbersuara indonesiagelap
KontraS,Fri Feb 21 09:55:48 +0000 2025,tape art sambung lidah rakyat aksi indonesiagelap
ainascnrrmt,Mon Feb 17 11:33:19 +0000 2025,indonesiagelap terlalu banyak ngga adil bahkan orang yg punya sempat lebih yang nya mulai sulit nya cari kerja walaupun pintar sulit nya cari gas masak kalo udah gin salah siapa rakyat nya justru kuasa nya
gzys3442,Thu Feb 27 07:01:17 +0000 2025,indonesia terang indonesiagelap indonesiagelap artistbersuara
Boediantar4,Fri Feb 21 11:01:28 +0000 2025,mantap keren tohok indonesiagelap adilijokowi
basebuku,Fri Feb 21 12:15:18 +0000 2025,indonesia gelap kawan kawan pambaca suara
Isminita01,Thu Aug 22 15:51:31 +0000 2024,kawalputusanmk padahal negara baru ingat hari merdeka olah hitung dirgahayu sudah henti entah sejak kapan benar masih merdeka
aonekomon,Wed Feb 26 01:59:51 +0000 2025,hidup isi gacha doang artistbersuara indonesiagelap
walhinasional,Fri Feb 21 09:57:55 +0000 2025,hari di aksi indonesiagelap warga turun jalan atas banyak rentet bijak negara justru sengsara warga sendiri efisiensi anggar juta hektar hutan pangan energi ruu minerba kebut malam didik sehat
tewewulin,Sun Feb 23 18:15:42 +0000 2025,butuh buku bolpen bukan senjata eksavator indonesiagelap indonesiagelap
NJZBUBBLEGUM,Fri Feb 21 04:42:08 +0000 2025,hidup perempuan lawan darkindonesia indonesiagelap
MariaAlkaff_,Mon Feb 24 02:43:14 +0000 2025,jangan tantang rakyat gerah sama semua selenggara negara amanah tidak pro rakyat suka peras indonesiagelap indonesiamakingelap
barengwarga,Thu Feb 20 16:10:06 +0000 2025,post akhir hari tutup visual stage indonesiagelap terima kasih selalu sama sipil lawan
BBCIndonesia,Fri Feb 21 13:19:30 +0000 2025,hari tarik platform musik lagu bayar bayar bayar karya band sukatani malah kumandang panjang aksi indonesiagelap serta aksi kata lagu wakil resah hadap sikap anti kritik perintah aparat
dat_sfrina,Fri Feb 21 04:16:19 +0000 2025,kita terang negeri indonesiagelap artistbersuara
berlianidris,Fri Feb 21 07:33:44 +0000 2025,pesan kami rakyat indonesia indonesiagelap
humaniesproject,Fri Feb 21 08:40:53 +0000 2025,terima kasih semua masih peduli akan terus peduli kapan indonesia indonesiagelap
ramaArsy1,Wed Feb 26 06:05:58 +0000 2025,negeri bedebah lagu di take down buat versi english nya musisi dunia kereen indonesiagelap indonesiagelap
barengwarga,Fri Feb 21 10:06:41 +0000 2025,hidup rakyat lawan indonesiagelap
Ihyanursamsie,Fri Feb 28 11:54:35 +0000 2025,hilal belum lihat karna indonesia gelap coba adil dulu sih
