Username,Create time,teks
bayuariisandee,Mon Feb 10 04:09:21 +0000 2025,🚩Ada nilai write dari horror ini selain Marissa Anita tone filmnya juga segar gak gelap-gelap kayak film horror Indonesia yang serba hemat listrik.
ismailfahmi,Sun Feb 09 06:50:44 +0000 2025,@amouraXexa @hrdbacot @berlianidris Tagar #KaburAjaDulu ini sebagai reaksi frustasi atas situasi di Indonesia yang dirasakan sebagian netizen. Mereka mencari informasi lowongan kerja tip persiapan berangkat resiko yang harus dipertimbangkan dan perbandingan tinggal di Indonesia vs LN. https://t.co/H5azClgzqU
Redbullidn,Tue Feb 11 19:36:01 +0000 2025,Sedangkan think di Indonesia kabinet gemuk adalah impian seseorang baru baru ini ada seorang tentara yang diangkat jadi stafsus gemukin aja terus kerja gk ada yang becus masyarakat meringis pejabat nya ongkang ongkang kaki KKN SEBENTAR LAGI MERAJA RELA DWIFUNGSI TNI. INDONESIA GELAP
Aunike_hihola,Tue Feb 11 16:21:25 +0000 2025,Sinergi dan kolaborasi dalam pemberantasan peredaran gelap narkotika di #Indonesia https://t.co/HPgHUfq3Ri
Muslim_AntiPKI9,Wed Feb 12 07:09:21 +0000 2025,INDONESIA GELAP Woooy.. Masih Pura2 Bahagia Aja Nih MENTOL
Nikueennn,Fri Feb 14 14:57:09 +0000 2025,Indonesia gelap
wlwidy,Sun Feb 09 03:18:39 +0000 2025,indonesia gelap GELAP fr
floofwuf,Thu Feb 13 04:31:33 +0000 2025,®️menuju indonesia suram gelap gulita 
anitaiflaatid,Thu Feb 13 07:49:49 +0000 2025, Jersey ketiga Timnas Indonesia ada sentuhan warna pink. Ada perpaduan warna gelap dan terang. Keluar atau tidaknya tergantung dengan respons publik ucap Sadad Â©ï¸kumparanPLAY https://t.co/6blRizCFy8
huangren_jun,Wed Feb 12 12:13:10 +0000 2025,Menuju indonesia gelap
jawapos,Mon Feb 10 04:33:00 +0000 2025,Anji Sebut Hilangnya Hak Pencipta Lagu sebagai Sisi Gelap Industri Musik Indonesia https://t.co/08enC0FmGF
CNNIndonesia,Tue Feb 11 11:35:12 +0000 2025,Kucing Jadi Penumpang Gelap di Pesawat Penerbangan Ditunda 2 Hari https://t.co/GMVNS7VYWK
